date,wallet,amount,mint,source
2022-01-05 04:48:40.000,121pn91ykhV3fPkL7834YgNbwsVTKZGFX56bWcwnNtBm,0.0,UNI,Wormhole Bridge
2022-02-10 15:10:49.000,1wTvS4pFWQ2E8qht6eMuMhyqffRVLxPufdFkV9wARBR,5.0,ETH,Wormhole Bridge
2022-01-06 00:39:23.000,243SAnGxchCVB1LQAUF4SsozR86yDwEdg2QQpbWGsMYe,0.0,ETH,Wormhole Bridge
2021-12-14 04:32:30.000,27javo7PGk6ErQ2XH2zjgUbMWMMPykQPuQW5WwdcSFDd,0.0,ETH,Wormhole Bridge
2022-01-31 05:41:29.000,28Lv4bK1HzRBfzCPBoqYrsfM8UZhCdi7zPRHKs45ct7Z,1.0,ETH,Wormhole Bridge
2022-01-07 19:44:16.000,293Ssm7zEJnCya45R5EoKq1onVH2JRsa6wEH1twgwqs3,37445.262095,USDCet,Wormhole Bridge
2022-02-22 21:23:27.000,2EcHKQDF4H3cQvXRMfuzdMgVxRXJG4tToQEfXHeosPN4,0.0,ETH,Wormhole Bridge
2021-12-07 03:00:19.000,2TjWhGAJo75dRk5FzZ6DLrVAAVkmBH9sU4bHynob4pA3,1.0,ETH,Wormhole Bridge
2021-12-16 10:19:09.000,2VK7iw74Sd5cAY45LYGdQ1RGDqDMW6bUfLn9vB2GibFH,3199.5,aeUSDC,Allbridge Bridge
2021-12-18 21:07:04.000,2hjBDKat4koEcMmpRqxRkBc4kufytobVoXcHegyt3uB1,0.135513704,aeWETH,Allbridge Bridge
2021-12-11 11:32:53.000,2jdrff5EHqfqXGE8Qhe1FwKWUEYxdYdspHUp5cCWPRfx,0.19,ETH,Wormhole Bridge
2022-01-24 14:01:12.000,2nkAFT3rjePKGSPGppPqcf7gNBx4RuwD5f5Mhqg192pb,270.386,USDTet,Wormhole Bridge
2021-12-19 09:16:48.000,2rVqaTQt2tKfXsVzC7D8D1Tf8HPJnXWKMKDaVgze4zMi,0.03,ETH,Wormhole Bridge
2022-01-02 06:37:46.000,2rsbbs2dwYEXKxvKezNzF4tJzxGJ9HHWgREz7ZfMLwcN,0.0,ETH,Wormhole Bridge
2022-02-12 13:02:53.000,32zp3vt3h9Vhg6GuFqTEUm1jG5HQXKUvU2MT15K8cb2j,1499.5,aeUSDC,Allbridge Bridge
2022-02-12 13:29:41.000,3HVHKUagp51MJuvB4KNqWGB4DSXX1DUVNMEFhYAisJiX,240.80641914,LDO,Wormhole Bridge
2022-01-13 10:33:16.000,3RcTDDKMXnuUBCE1zd4bpd1xvRheCBcGxQj4LYpwuNAr,120.0,ETH,Wormhole Bridge
2021-12-03 05:46:33.000,3UYisFEvkhK4yzkNT2CeH2r6RcWSXPoPpG568cyP8cM5,0.0,USDCet,Wormhole Bridge
2021-12-10 22:36:46.000,3aStTqfGeNTHGdwrHKD6G5sE4eGRknDdSVZ2hbHMvDm7,0.0,ETH,Wormhole Bridge
2021-12-18 20:47:00.000,3cL4Tn2naD5119cwWe24fNqmvVE5ATKppEMzFVhgYFZz,0.0,USDTet,Wormhole Bridge
2021-12-01 07:38:07.000,3xa8Q5NjbBATNBMaxUYePVpEASdZvwWTbhAMV47SRQVC,100.0,ETH,Wormhole Bridge
2021-12-09 22:15:57.000,41rKoEYyU9iKQjKtRTyF7877TumS1pvXbon46EdJZdAx,150000.0,PEOPLE,Wormhole Bridge
