months,amount_instant_unstake,cum_amount_instant_unstake
2021-09-01 00:00:00.000,232185.221253556,232185.221253556
2021-10-01 00:00:00.000,1075411.111495585,1307596.332749141
2021-11-01 00:00:00.000,991782.298574002,2299378.631323143
2021-12-01 00:00:00.000,445584.201594585,2744962.832917728
2022-01-01 00:00:00.000,725605.625262761,3470568.458180489
2022-02-01 00:00:00.000,121924.509701819,3592492.967882308
2022-03-01 00:00:00.000,199453.038069456,3791946.005951764
2022-04-01 00:00:00.000,344627.083175592,4136573.089127356
2022-05-01 00:00:00.000,1025815.2297196881,5162388.318847044
2022-06-01 00:00:00.000,504143.047100643,5666531.365947687
2022-07-01 00:00:00.000,83974.791586567,5750506.157534254
2022-08-01 00:00:00.000,322257.016120985,6072763.173655239
2022-09-01 00:00:00.000,84350.131449165,6157113.305104404
2022-10-01 00:00:00.000,45283.054361016,6202396.359465419
2022-11-01 00:00:00.000,283286.492777713,6485682.852243132
2022-12-01 00:00:00.000,5278.021409371,6490960.873652503
